amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
003-8242533-0404260	003-8242533-0404260	2024-02-02T22:32:04+00:00	2024-02-05T04:23:46+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	374	34.6							GREENBRAE	CA	94904-1306	US		FALSE			FALSE
004-0833363-9330442	004-0833363-9330442	2024-02-02T20:40:52+00:00	2024-02-04T03:55:56+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	250	20							BALDWINSVILLE	NY	13027-9466	US		FALSE			FALSE
000-4363444-0239409	000-4363444-0239409	2024-02-02T20:10:13+00:00	2024-02-06T01:08:50+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	92.56	5.55							SUFFOLK	VA	23434-6944	US		FALSE			FALSE
003-3203024-0625063	003-3203024-0625063	2024-02-02T05:44:47+00:00	2024-02-03T00:26:14+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	374	34.6							GREENBRAE	CA	94904-1306	US		FALSE			FALSE
003-9806500-9303462	003-9806500-9303462	2024-02-02T01:30:58+00:00	2024-02-10T02:03:22+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	236	16.52							VERO BEACH	FL	32960-1945	US		FALSE			FALSE
002-2906695-8284235	002-2906695-8284235	2024-02-01T18:40:51+00:00	2024-02-06T04:09:54+00:00	Shipped	Amazon	Amazon.com			Standard	REDACTED_1	Shipped	1	USD	117	9.8	1.51					1.51	PLEASANTVILLE	NY	10570-3418	US	US Core Free Shipping Promotion A3JU1FCINF5SD0	FALSE			FALSE
003-4923360-0364258	003-4923360-0364258	2024-02-01T03:05:05+00:00	2024-02-01T16:45:33+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	227.77	15.94							SAFETY HARBOR	FL	34695-5615	US		FALSE			FALSE
004-3022043-6569822	004-3022043-6569822	2024-01-31T03:48:44+00:00	2024-01-31T16:07:19+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	355.71								DORAL	FL	33172-3049	US		FALSE			FALSE
004-5033930-4643442	004-5033930-4643442	2024-01-31T02:58:50+00:00	2024-02-04T03:58:25+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	92.56								MIAMI	FL	33129-2812	US		FALSE			FALSE
004-8088669-9558609	004-8088669-9558609	2024-01-30T22:56:04+00:00	2024-02-09T08:49:47+00:00	Shipped	Amazon	Amazon.com			Expedited	REDACTED_2	Shipped	1	USD	250	18.75							RIVERVIEW	FL	33578-9309	US		FALSE			FALSE
